30_day_cum_funding,3_day_cum_funding,7_day_cum_funding,allocation_percentage,apr_id,apr_score,expected_apy,next_funding_rate,previous_funding_rate,simulator_id,staking_apy,symbol,time
"0.12286896000000004","0.5227380000000001","0.28574485714285724","0.5","1","0.48364556742857145","0.48364556742857145","0.10800000000000001","1.535922","null","null","EOSUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.06076212","0.1580712","0.12810291428571427","0.15","2","0.16730231485714284","0.16730231485714284","0.10800000000000001","0.40789439999999993","null","null","MATICUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.12305580000000002","0.10800000000000001","0.10963491428571429","0.15","3","0.10983256285714285","0.10983256285714285","0.10800000000000001","0.10800000000000001","null","null","FTMUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.06456384000000003","0.10800000000000001","0.08146902857142858","0.1","4","0.09835018971428572","0.09835018971428572","0.10800000000000001","0.10800000000000001","null","null","RUNEUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.05368368000000001","0.112266","0.06948257142857141","0.1","5","0.09614468228571428","0.09614468228571428","0.10800000000000001","0.10800000000000001","null","null","CHZUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.09720095999999999","0.0770364","0.08711280000000002","0","6","0.093453576","0.093453576","0.10800000000000001","0.10800000000000001","null","null","ETCUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.04191972000000001","0.10524120000000001","0.04499691428571429","0","7","0.08796371485714287","0.08796371485714287","0.10800000000000001","0.10800000000000001","null","null","WLDUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.07091592000000002","0.06277920000000001","0.0705852","0","8","0.08324239200000001","0.08324239200000001","0.10800000000000001","0.10800000000000001","null","null","ALGOUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.046707599999999995","0.073494","0.054638742857142875","0","9","0.08084670857142857","0.08084670857142857","0.10800000000000001","0.10800000000000001","null","null","UNIUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.05133816","0.07461240000000001","0.03992811428571429","0","10","0.07870315885714287","0.07870315885714287","0.10800000000000001","0.10800000000000001","null","null","LINKUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.05287104000000001","0.048783599999999996","0.0462564","0","11","0.065070504","0.065070504","0.09160560000000001","0.08663760000000001","null","null","SUIUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.014219280000000003","0.0402216","0.06066308571428573","0","12","0.06463062514285715","0.06463062514285715","0.09123840000000001","0.10800000000000001","null","null","WIFUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.08429616000000002","-0.0025800000000000024","0.05553257142857143","0","13","0.06087349028571429","0.06087349028571429","0.10800000000000001","0.1007424","null","null","FILUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"-0.03412500000000001","0.1060848","0.019585542857142858","0","14","0.060434348571428584","0.060434348571428584","0.047617200000000005","0.10800000000000001","null","null","ENSUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.061384080000000014","0.034968","0.03026468571428572","0","15","0.05948814514285715","0.05948814514285715","0.0824256","0.10800000000000001","null","null","LTCUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.0079416","0.031513200000000005","0.013694400000000002","0","16","0.049658400000000005","0.049658400000000005","0.10800000000000001","0.064476","null","null","XLMUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.037727399999999994","0.0152328","0.027576000000000007","0","17","0.049341720000000006","0.049341720000000006","0.10800000000000001","0.05655960000000001","null","null","ADAUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.04727424","0.040276799999999995","0.07379074285714286","0","18","0.03598635257142857","0.03598635257142857","-0.018208800000000004","0.059799599999999994","null","null","NEARUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"-0.002667959999999991","-0.02821439999999999","-0.05913257142857142","0","19","0.02264236971428572","0.02264236971428572","0.10800000000000001","0.10800000000000001","null","null","MANAUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.00742176","-0.0182844","-0.005932285714285712","0","20","-0.036331601142857155","0.020820508857142844","-0.07747920000000001","-0.073548","null","0.05715211","SOLUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.01913712","0.007427999999999998","-0.0007549714285714288","0","21","0.020140897714285712","0.020140897714285712","0.0752004","-0.0176688","null","null","BTCUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.0175164","-0.002770799999999999","0.001349485714285715","0","22","0.018411437142857142","0.018411437142857142","0.0737316","-0.008078400000000001","null","null","XRPUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.07746744000000001","0.0303132","0.014226685714285715","0","23","0.015455141142857145","0.015455141142857145","-0.038988","0.036774","null","null","AAVEUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"0.01856328","0.0421224","-0.011944285714285716","0","24","0.011313630857142857","0.011313630857142857","-0.0423792","0.0653616","null","null","TRXUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
"-0.06933095999999998","0.012137999999999996","0.02494748571428572","0","25","0.00947488114285715","0.00947488114285715","0.10800000000000001","-0.12815279999999998","null","null","THETAUSD_PERP","Sat, 13 Dec 2025 15:13:44 GMT"
